"Artist and Title","Days","Pk","(x?)","Total","Today"
"Veysel - Habibo","49","61","","197,873","0"
"Hamza - God Bless","42","48","","197,789","0"
"Ufo361 - Shot","55","34","","197,705","0"
"Delaossa, Quevedo & Bigla The kid - Still Luvin","--","240","","197,679","60"
"Shakira & Maluma - Clandestino","42","130","","197,664","0"
"Harry Styles - Taste Back","23","8","","197,660","52"
"Lena - Thank You","11","170","","197,657","0"
"Loboda - Парень","23","126","","197,649","0"
"Melike Şahin - Diva Yorgun","--","476","","197,549","30"
"Lomepal - Decrescendo","20","78","","197,532","0"
"Apache 207 - Loser","41","40","","197,530","0"
"The Weeknd - Open Hearts","22","8","","197,445","0"
"Shade & Federica Carta - Senza farlo apposta","55","110","","197,346","0"
"The Weeknd - Wasted Times","28","7","","197,300","0"
"Benji & Fede - Moscow Mule","49","158","","197,257","0"
"Rammstein - Zick Zack","50","20","","197,153","0"
"KAZKA - CRY","--","356","","197,083","0"
"Raf Camora - Sag Nix","48","45","","197,031","0"
"Myke Towers - Explícito","--","385","","197,029","0"
"Luciano - Valentino Camouflage","52","56","","197,014","0"
"RK - Bae","27","92","","196,980","0"
"Orelsan - Tout va bien","35","71","","196,932","0"
"Ceza - Suspus","--","599","","196,886","0"
"Artie 5ive - MILANO TESTAROSSA","7","179","","196,880","0"
"Adele - Love in the Dark","53","55","","196,744","0"
"Vanotek - Tell Me Who","62","123","","196,570","0"
"Hippie Sabotage - Devil Eyes","--","262","","196,568","0"
"Booba - Ridin'","57","53","","196,464","0"
"Azet - Gjynah","46","48","","196,425","0"
"MONATIK & Вера Брежнева - ВЕЧЕРиНОЧКА","37","113","","196,395","0"
"Mud - Lonely This Christmas","61","103","","196,343","0"
"Kylie Minogue - Santa Baby","34","86","","196,313","0"
"The Kolors - KARMA","60","144","","196,302","0"
"Tony Effe, Sfera Ebbasta & Geolier - PILLOLE","51","78","","196,299","0"
"Semicenk & Funda Arar - Al Sevgilim","--","512","","196,263","0"
"Beyoncé - JOLENE","25","5","","196,035","0"
"PLK - C'est mort","40","66","","196,026","0"
"V $ X V PRiNCE & Bollo - Пусто","67","82","","195,991","0"
"The Weeknd - Try Me","29","5","","195,932","0"
"Angèle - Flou","2","160","","195,860","0"
"The Weeknd - How Do I Make You Love Me","21","5","","195,821","0"
"Gobs - Tak For Sidst","--","506","","195,739","20"
"HENSY & Клава Кока - Костёр","17","155","","195,720","0"
"Bad Bunny & Feid - PERRO NEGRO","4","166","","195,716","0"
"SZA & Justin Timberlake - The Other Side","57","33","","195,706","0"
"Баста - На заре","25","173","","195,603","0"
"Desh & Young Fly - Pakisztáni/popo","--","847","","195,598","176"
"Burhan G & Frida Brygmann - Tinka","--","416","","195,499","0"
"Koba laD - Matin","18","90","","195,499","0"
"Emkal & Lynda - J'la connais, Pt. 1","41","151","","195,481","0"
"Анет Сай & NILETTO - Не люблю","27","143","","195,405","0"
"Booba - Dolce Vita","45","44","","195,396","0"
"Luck Ra & BM - La Morocha","--","278","","195,384","277"
"Orelsan - Défaite de famille","39","45","","195,363","0"
"Miyagi - Bismarck","17","140","","195,310","0"
"Merk & Kremont, Tananai & Marracash - Un Altro Mondo","43","179","","195,299","0"
"Shiva - Un milione di volte","23","95","","195,240","0"
"Summer Cem - Yallah Goodbye","43","38","","195,232","0"
"Zivert - Гудбай","6","150","","195,221","0"
"Elisa - Anche Fragile","30","160","","195,144","0"
"Miley Cyrus - Slide Away","53","54","","195,132","0"
"A1 x J1 - Latest Trends","59","74","","195,092","0"
"BoomDaBash & Baby K - Mohicani","82","148","","195,048","0"
"PNL - Zoulou tchaing","44","61","","194,906","0"
"Clean Bandit - Baby","56","71","","194,760","0"
"Ninho - Tokarev","18","65","","194,754","0"
"Franglish & Ninho - Sécu","69","58","","194,753","0"
"Aitana Ocaña & Ana Guerra - Lo Malo","--","245","","194,684","0"
"Eva - Jazz","63","74","","194,571","0"
"Michael Bublé - I'll Be Home For Christmas","33","24","","194,571","0"
"Doechii - DENIAL IS A RIVER","48","39","","194,500","0"
"Sido & Johannes Oerding - Pyramiden","50","113","","194,483","0"
"Antoon - Hyperventilatie","--","353","","194,436","0"
"Gonzy, Saiko & Arcángel - X'CLUSIVO","--","213","","194,414","0"
"Annalisa - Ragazza Sola","60","130","","194,407","0"
"Marwa Loud - Oh la folle","--","215","","194,395","0"
"Lukas Graham - HERE","20","84","","194,379","0"
"ArrDee - Oliver Twist","47","61","","194,366","0"
"Migos - Notice Me","35","22","","194,356","0"
"DaBaby - VIBEZ","40","75","","194,344","0"
"Jax Jones & Au/Ra - i miss u","45","76","","194,296","0"
"Taylor Swift - Don’t Blame Me","33","49","","194,282","0"
"Fredo - Ready","58","93","","194,265","0"
"Billie Eilish - Getting Older","28","8","","194,218","0"
"KC Rebell & Raf Camora - Neptun","42","30","","194,098","0"
"Megan Thee Stallion & Dua Lipa - Sweetest Pie","29","8","","194,089","0"
"Mark Ronson - Uptown Funk","3","87","","193,965","0"
"Mimi Webb - Dumb Love","69","74","","193,922","0"
"Taylor Swift - august","30","22","","193,914","0"
"Elodie - Dimenticarsi alle 7","58","74","","193,838","0"
"ARZ - Alone with You","12","110","","193,803","0"
"Kid Yugi - Lilith","38","117","","193,684","0"
"Calema - Amar Pela Metade","--","538","","193,649","230"
"Semicenk - Düşer Aklıma","--","552","","193,618","0"
"Myke Towers - DEGENERE","16","135","","193,476","0"
"Ella Langley - Choosin' Texas","70","59","","193,470","3,536"
"Olivia Rodrigo - 1 step forward, 3 steps back","38","20","","193,385","0"
"SEEMEE - Голодный пёс","29","153","","193,360","0"
"Desh & Azahriah - Papa","--","616","","193,290","127"
"SCH - Otto","47","69","","193,138","0"
"RIAN - Verwandtschaftstreffen","--","261","","193,128","0"
"Marshmello & Kane Brown - Miles On It","32","101","","193,088","0"
"Güneş - Dua","--","549","","193,066","0"
"Adele - Strangers By Nature","21","3","(x2)","192,849","0"
"Shiva - Syrup","48","91","","192,839","125"
"Ninho - M.I.L.S 3","31","41","","192,771","0"
"The Kolors & Elodie - Pensare male","4","195","","192,661","0"
"Bazzi - Beautiful","59","96","","192,610","0"
"Luciano - Ballin","48","53","","192,589","0"
"Rack & Beyond - AMOR","--","585","","192,561","61"
"The Weeknd - Too Late","19","4","","192,557","0"
"Daviles de Novelda - Flamenco y Bachata","--","270","","192,456","0"
"Aya Nakamura - Hypé","57","36","","192,315","0"
"Symba - Angels Sippen","47","63","","192,218","0"
"Elodie - A Fari Spenti","31","122","","192,133","0"
"Ultimo - Buongiorno vita","29","95","","192,127","0"
"Bonez MC & Raf Camora - Ja Mann","41","42","","192,102","0"
"Ninho - Centre commercial","29","54","","191,949","0"
"Massimo Pericolo & Crookers - STUPIDO","--","240","","191,870","0"
"FRIENDLY THUG 52 NGG - Lost Angeles","30","141","","191,843","0"
"The Kolors - UN RAGAZZO UNA RAGAZZA","67","67","","191,797","0"
"LSP - Шиншиллы","70","72","","191,723","0"
"Dayvi & Victor Cárdenas - Baila Conmigo","2","180","","191,627","0"
"Sabrina Carpenter - Nobody’s Son","35","11","","191,595","0"
"Jah Khalib - Искал-нашёл","45","84","","191,370","0"
"Ваня Дмитриенко - Вишнёвый","11","153","","191,334","12"
"Bonez MC & Raf Camora - Prominent","29","41","","191,313","0"
"Мари Краймбрери - AMORE","--","202","","191,249","0"
"Azet & Zuna - Wenn die Sonne untergeht","52","44","","191,094","0"
"Скриптонит - Ага, ну","3","192","","191,020","0"
"Marracash & Madame - Madame","64","130","","191,005","0"
"Becky G. - Mala Santa","--","212","","190,983","0"
"Marwa Loud & Moha k - Bimbo","51","65","","190,944","0"
"Rea Garvey - Is It Love","32","79","","190,935","0"
"Rauw Alejandro & Baby Rasta - PUNTO 40","--","224","","190,922","0"
"Irama - Crepe","11","179","","190,806","0"
"The Script - The Last Time","50","97","","190,794","0"
"Serena Brancale - ANEMA E CORE","52","144","","190,786","0"
"Cara & Fedez - Le feste di Pablo","64","98","","190,765","0"
"Tems - Me & U","62","73","","190,730","0"
"Morat - Cuando Nadie Ve","--","327","","190,725","0"
"Travis Scott - STOP TRYING TO BE GOD","29","9","","190,706","0"
"DJ Smash & Artik & Asti - CO2","76","125","","190,687","0"
"Sky, Feid & Myke Towers - El Cielo","--","272","","190,571","0"
"C. Tangana - Nunca Estoy","--","229","","190,506","0"
"Jason Derülo - Colors","39","55","","190,506","0"
"Capo Plaza - Allenamento #2","--","213","","190,461","0"
"Shawn Mendes - Lost in Japan","34","33","","190,274","0"
"Mark Ronson - Find U Again","54","54","","190,190","0"
"MORGENSHTERN - ПОВОД","55","58","","190,147","0"
"Slow J - Tata","--","497","","190,146","26"
"Simba La Rue - MI PIACCIONO LE ARMI","50","105","","190,094","0"
"Звонкий & Рем Дигга - Из окон","35","137","","190,090","0"
"Lartiste - Catchu Catchu","53","134","","190,070","0"
"MONATIK & Надя Дорофеева - Глубоко...","57","100","","189,997","0"
"Ninho - 25 G","53","47","","189,927","0"
"Coldplay - Paradise","9","159","","189,695","0"
"ANNA ASTI - Звенит январская вьюга","39","76","","189,557","0"
"Nucci - Vroom","--","907","","189,526","117"
"Shade - Autostop","11","185","","189,523","0"
"Gavin James - Always","--","302","","189,513","0"
"Burak Yeter & Cecilia Krull - My Life Is Going On","7","190","","189,423","0"
"Post Malone - On the Road","29","21","","189,412","0"
"Loboda - Твои глаза","--","208","","189,185","0"
"Labrinth - Still Don't Know My Name","39","68","","189,178","0"
"Edis - Martılar","--","529","","189,153","0"
"Lola Indigo - Ya No Quiero Ná","--","237","","189,153","0"
"Kizo & Bletka - Taxi","--","510","","189,098","122"
"Егор Крид & The Limba - Coco L'Eau","49","112","","189,088","0"
"GOODY - Panamera","52","115","","189,025","0"
"Ezhel - Şehrimin Tadı","--","488","","188,979","0"
"Trettmann - Knöcheltief","20","147","","188,888","0"
"Kidd Voodoo & JC Reyes - Me Mareo","--","227","","188,871","124"
"Ronisia - Atterrissage","34","136","","188,847","0"
"Полина Гагарина - Обезоружена","33","120","","188,753","0"
"Gabry Ponte - Tutta L'Italia","14","31","","188,724","0"
"Ninho - La vivance","17","58","","188,615","0"
"Kontra K - Tiefschwarz","26","39","","188,567","0"
"RAF Camora & Bonez MC - Unnormal","35","41","","188,565","0"
"Emilia, LUDMILLA & Zecca - No_se_ve.mp3","--","310","","188,486","0"
"Nucci - Automatti","--","756","","188,342","206"
"Kaza - Hrtbrk #2","--","232","","188,304","0"
"Aya Nakamura - Pompom","33","65","","188,300","0"
"Bad Bunny & Jhay Cortez - Tarot","8","153","","188,283","0"
"Bad Bunny & Jhayco - Dakiti","--","348","","188,235","0"
"Bolaget - Kan Inte Gå","--","504","","188,191","31"
"Glockenbach & Ella Henderson - Lifeline","23","79","","188,185","0"
"Mac Miller - Good News","30","23","","188,144","0"
"Drake - Pain 1993","21","5","","188,124","0"
"Stevie Wonder - Someday At Christmas","41","43","","188,123","0"
"KAROL G & Romeo Santos - X SI VOLVEMOS","15","160","","188,092","0"
"J-Ax & Jake La Furia - Salsa","33","149","","188,076","0"
"Coma_Cose - MALAVITA","56","145","","188,064","0"
"Achille Lauro - Rolls Royce","43","111","","188,050","0"
"Fred De Palma - SEXY RAVE","--","201","","188,017","0"
"The Weeknd - The Hills","3","83","","188,013","32"
"Nathan Dawe - We Ain't Here For Long","29","168","","187,997","0"
"Sido - Liebst du mich","63","58","","187,913","0"
"Ninho - C'était le rap","27","68","","187,907","0"
"Damso - LIFE LIFE","36","37","","187,873","0"
"RAF Camora & Cro - Bei Nacht","52","38","","187,790","0"
"Guè - Vibe","45","95","","187,711","0"
"tha Supreme - f**k 3x","77","110","","187,643","0"
"Bonez MC & Gzuz - Cinnamon Roll","40","29","","187,637","0"
"Feid & Justin Quiles - Porfa","9","175","","187,635","0"
"Jul - Mother Fuck","63","56","","187,635","0"
"Zola - Wow","49","54","","187,601","0"
"Джарахов & Mary Gu - Я в моменте 2","46","87","","187,570","0"
"Mark Forster & Vize - Bist du Okay","40","91","","187,555","0"
"BLANCO - Bruciasse Il Cielo","53","121","","187,548","0"
"Capital Bra - Einsam an der Spitze","41","31","","187,544","0"
"Sam Smith & Naughty Boy - La La La","32","21","","187,532","0"
"Ozuna - El Farsante","--","379","","187,478","77"
"MATRANG - От луны до Марса","28","166","","187,282","0"
"Westlife - Hello My Love","38","85","","187,258","0"
"Travis Scott - TOPIA TWINS","22","12","","187,195","0"
"Lord Siva - Solhverv","--","540","","187,134","0"
"Lazza & Laura Pausini - ZERI IN PIÙ","46","85","","187,124","0"
"The Weeknd - Hardest To Love","19","6","","186,900","0"
"SQWOZ BAB - TOKYO","56","105","","186,778","0"
"Austyn Johnson, Cameron Seely & Hugh Jackman - A Million Dreams","--","221","","186,712","0"
"Ninho - 5 bleus","42","45","","186,645","0"
"TINI & Maria Becerra - Miénteme","--","299","","186,536","0"
"Danny Ocean - Fuera del mercado","27","128","","186,517","0"
"Harry Styles - Love Of My Life","36","14","","186,485","0"
"NOTD, Felix Jaehn & Captain Cuts - So Close","43","116","","186,442","0"
"Madonna & Maluma - Medellín","47","47","","186,407","0"
"Samra - Marlboro Rot","38","37","","186,310","0"
"Harry Styles - Keep Driving","35","15","","186,234","0"
"Rkomi - Mon cheri","48","132","","186,222","0"
"Jungeli, Vegedream & Alonzo - T’étais où","16","159","","186,180","0"
"ANNA ASTI - Дурак","54","60","","186,161","0"
"Gue' Pequeno - Milionario","37","121","","186,131","0"
"Dardan - gENAuSo","38","54","","186,098","0"
"Yxng Bane - Vroom","62","98","","186,059","0"
"24kGoldn - CITY OF ANGELS","63","99","","186,047","0"
"Loboda - Лети","44","96","","186,028","0"
"Light - Mosca","--","837","","186,021","128"
"Ninho - Problèmes du matin","34","65","","186,006","0"
"David Guetta & Kid Cudi - Memories","6","119","","185,912","0"
"Light - MVP Freestyle","--","818","","185,892","148"
"Konfuz - Италия","64","106","","185,888","0"
"Shakira - Chantaje","61","84","","185,879","0"
"J-Ax - Tutto tua madre","38","161","","185,847","0"
"Enrico Nigiotti - L'amore è","56","110","","185,784","0"
"Ariana Grande & Doja Cat - motive","28","8","","185,775","0"
"Desh, Young Fly & Azahriah - Rampapapam","--","771","","185,761","157"
"Eva - Bottega","31","96","","185,662","0"
"Zola - 9 1 1 3","33","43","","185,588","0"
"Pierre de Maere - Un jour je marierai un ange","5","163","","185,464","0"
"reezy - TRAPPER'S LULLABY","48","58","","185,376","0"
"Kraantje Pappie - Lil Craney","--","203","","185,360","0"
"Rochy RD, Myke Towers & NICKI NICOLE - Ella No Es Tuya","--","255","","185,319","0"
"Aitana - Los Ángeles","--","263","","185,306","0"
"Дима Билан & Zivert - Это была любовь","55","116","","185,284","0"
"Morad - Pelele","--","220","","185,226","0"
"Plutónio - Somos Iguais","--","534","","185,193","67"
"Cornelia Jakobs - Hold Me Closer","28","31","","185,026","0"
"Ollane - Touch the Sky","13","163","","185,019","0"
"AgroPlay & Ana Castela - Nosso Quadro","--","541","","185,012","0"
"PNL - Shenmue","50","58","","184,994","0"
"Ghali - PARE","26","145","","184,967","0"
"Rich The Kid - Plug Walk","32","50","","184,962","0"
"PNL - Comme pas deux","49","28","","184,875","0"
"SCH - Le code","30","86","","184,722","0"
"Chris Brown - Undecided","36","34","","184,719","0"
"Ninho - En chien","27","57","","184,705","0"
"Dua Lipa - Swan Song","34","14","","184,688","0"
"Ermal Meta & Fabrizio Moro - Non mi avete fatto niente","66","103","","184,632","0"
"Olly & Juli - Così così","58","89","","184,608","0"
"Ozuna, J Balvin & Chencho Corleone - Una Locura","--","261","","184,602","0"
"Sfera Ebbasta - Hollywood","48","91","","184,544","0"
"Maluma - Cosas Pendientes","--","304","","184,505","52"
"LSD - Genius","31","36","","184,445","0"
"Женя Трофимов & NANSI & SIDOROV - Вторая весна","43","141","","184,419","125"
"Monaldin - Femme Like U","1","197","","184,315","0"
"Kummer & Fred Rabe - DER LETZTE SONG","47","62","","184,312","0"
"Adele - Cry Your Heart Out","21","8","","184,292","0"
"Dark Polo Gang - British","47","120","","184,279","0"
"Shablo, Marracash & Carl Brave - Non Ci Sto","48","148","","184,213","0"
"Paky - Blauer","14","108","","184,190","0"
"SZA - Nobody Gets Me","40","30","","184,179","0"
"Martin Jensen, Alle Farben & Nico Santos - Running Back To You","28","103","","184,079","0"
"Provinz - Walzer","--","213","","183,879","0"
"Kojo Funds - Check","60","110","","183,862","0"
"Асия & NЮ - Твой поцелуй","47","108","","183,827","0"
"Irama - Melodia proibita","67","144","","183,697","0"
"Benji & Fede - Tutto per una ragione","59","131","","183,687","0"
"Good Neighbours - Home","39","123","","183,655","0"
"Tems - Love Me JeJe","34","71","","183,652","0"
"Ariana Grande - One Last Time","24","57","","183,648","0"
"Meduza, OneRepublic & Leony - Fire","59","58","","183,630","0"
"Makar - Mood","49","36","","183,594","0"
"Monetochka - Селфхарм","63","62","","183,592","0"
"Yasin - Young & Heartless","--","493","","183,517","20"
"Damso - Tueurs","57","81","","183,516","0"
"Salmo - HO PAURA DI USCIRE","22","122","","183,461","0"
"Katy Perry - Harleys in Hawaii","27","18","","183,438","0"
"Olivia Rodrigo - all-american bitch","29","10","","183,423","0"
"FACE - МОЙ КАЛАШНИКОВ","41","101","","183,317","0"
"Capo - Run Run Run","35","44","","183,194","0"
"Niska - De bon matin","44","75","","183,189","0"
"Леша Свик - Не забывай меня","28","147","","183,131","0"
"Maître Gims & Sting - Reste","--","232","","183,061","0"
"Boef & Numidia - Tout Est Bon","51","136","","183,053","0"
"Andro - Как не любить","61","85","","183,008","0"
"Tobias Rahim - Feberdrømmer Xx Dubai","--","422","","182,935","0"
"Kygo, Avicii & Sandro Cavazza - Forever Yours","33","117","","182,920","0"
"Theodora & Guy2Bezbar - PAY","26","144","","182,907","0"
"Ariana Grande - ghostin","28","14","","182,894","0"
"Mata - Lloret de Mar","--","493","","182,882","213"
"Lady Gaga - Garden Of Eden","27","8","","182,867","0"
"KAROL G - Ay, DiOs Mío","--","249","","182,809","0"
"reezy - 14 PASSENGER","36","27","","182,778","0"
"Omar Montes & JC Reyes - Goteras","--","233","","182,588","0"
"The Chainsmokers - This Feeling","35","56","","182,472","0"
"Lost Frequencies, Zonderling & Kelvin Jones - Love to Go","12","176","","182,393","0"
"SQWOZ BAB - КУПЕР","63","66","","182,210","1,548"
"Exile, STOPBAN & DILBLIN - MiMiMaMaMu","42","124","","182,154","0"
"Jul - Loin de tout","49","60","","182,143","0"
"Ufo361 - Nice Girl 2.0","56","77","","182,134","0"
"Juice WRLD - Wishing Well","42","35","","182,129","0"
"JC Reyes & De La Ghetto - FARDOS","--","237","","182,112","0"
"Azahriah & Desh - Miafasz","--","697","","182,093","39"
"Sech - Relación","--","233","","182,013","0"
"The Weeknd - Baptized In Fear","21","8","","181,825","0"
"Perry Como - (There's No Place Like) Home for the Holidays","38","55","","181,708","0"
"LIBERATO - ME STAJE APPENNENN' AMÒ","4","188","","181,706","0"
"Eminem - You Gon' Learn","21","11","","181,697","0"
"Nat ""King"" Cole - Deck the Hall","55","51","","181,696","0"
"Kizo - Disney","--","516","","181,675","0"
"DJ Khaled - Wish Wish","28","15","","181,654","0"
"Мэвл - Патамушка","39","116","","181,618","0"
"Azahriah & Desh - Pullup","--","674","","181,614","51"
"Beéle - top diesel","--","283","","181,597","106"
"JVLI, Emma & Olly - HO VOGLIA DI TE","9","181","","181,575","0"
"Maître Gims - Loup garou","53","58","","181,566","0"
"Topic & A7S - Why Do You Lie to Me","28","33","","181,495","0"
"Semicenk - Fark Ettim","--","473","","181,389","0"
"Annika - Så længe jeg er sexy.","--","370","","181,352","194"
"Taylor Swift - Now That We Don't Talk","29","12","","181,290","0"
"Dosseh - L'odeur du charbon","51","110","","181,253","0"
"Nathan Dawe & Abi Flynn - Here In Your Arms","4","187","","181,224","0"
"Loredana - MILLIONDOLLAR$MILE","46","47","","181,217","0"
"Avicii - Waiting For Love","23","20","","181,214","0"
"Bad Gyal - Da Me","--","263","","181,058","272"
"Sfera Ebbasta & Shiva - NON METTERCI BECCO","50","69","","180,871","0"
"Rkomi - il ritmo delle cose.","58","99","","180,839","0"
"Basta - Я найду тебя через века","32","129","","180,816","0"
"Rihanna - Only Girl","7","30","","180,709","831"
"Luciano & Central Cee - West Connect","48","25","","180,656","0"
"RIN - Fabergé","43","35","","180,638","0"
"Lunay, Ozuna & Anuel AA - Aventura","--","220","","180,522","0"
"Semicenk - Batık Gemi","--","486","","180,518","57"
"Ninho - Chiraq","55","43","","180,483","0"
"Laylow - SPECIAL","25","78","","180,478","0"
"Loredana & Mozzik - Rosenkrieg","35","35","","180,439","0"
"J-AX & Fedez - Favorisca i sentimenti","51","100","","180,415","0"
"Booba - Saga","52","37","","180,301","0"
"Capo Plaza - Fino All'Alba","62","136","","180,273","0"
"Sefo - Affettim","--","525","","180,182","0"
"Beny Jr & Morad - Sigue","17","74","","180,161","0"
"Morat & Juanes - Besos En Guerra","--","288","","180,052","0"
"Dawid Podsiadło - Małomiasteczkowy","--","438","","180,010","74"
"Big Baby Tape - KARI","49","91","","179,989","0"
"Miyagi & Эндшпиль & N.E.R.A.K. - DLBM","39","148","","179,931","0"
"Ufo361 - Allein sein","44","51","","179,913","0"
"Kanye West - Closed on Sunday","20","6","","179,840","0"
"Imagine Dragons - Demons","--","297","","179,731","19"
"Annalisa - Dieci","52","120","","179,623","0"
"Guè & Artie 5ive - Akrapovič","33","101","","179,570","0"
"KC Rebell & Summer Cem - Valla nein","42","36","","179,562","0"
"Gzuz - Was erlebt","46","55","","179,516","0"
"Artik & Asti - Чувства","42","82","","179,512","0"
"Ukendt Kunstner - Uden Dig","--","525","","179,483","38"
"Roxy Dekker - Ga Dan","3","187","","179,394","0"
"OG Buda & MAYOT - Вина","35","84","","179,382","0"
"tha Supreme & Mara Sattei - m12ano","52","121","","179,373","0"
"Zivert - один процент","33","148","","179,372","0"
"Rin - Vintage","28","39","","179,211","0"
"Gazzelle - Polynesia","4","188","","179,189","0"
"Rae Sremmurd, Swae Lee & Slim Jxmmi - Guatemala","34","61","","179,152","0"
"Nicky Jam - El Amante","43","149","","179,147","0"
"Navai & Bahh Tee - Не приму и даром","53","70","","179,146","0"
"Years & Years & Galantis - Sweet Talker","40","107","","179,131","0"
"VEN1 & Ramos. - Vanilla","40","73","","179,067","0"
"Rudimental & Major Lazer - Let Me Live","49","57","","179,043","0"
"Bonez MC & RAF Camora - Taxi","49","31","","178,989","0"
"Eminem - Unaccommodating","21","9","","178,960","0"
"MiyaGi & Endshpil - I Got Love","--","369","","178,926","0"
"Prince Royce - Carita de Inocente","--","251","","178,902","0"
"Carl Brave & Elodie - Parli parli","25","154","","178,888","0"
"Тима Белорусских - Поезда","48","103","","178,872","0"
"Rag'n'Bone Man & P!nk - Anywhere Away from Here","57","58","","178,822","0"
"Джаро & Ханза & kavabanga Depo kolibri - Таблетка","41","114","","178,768","0"
"Olexesh, Ataypapi & ilo 7araga - Pistoleta","52","65","","178,753","0"
"Alonzo - Papa allo","19","107","","178,655","0"
"DJ Ötzi - Tirol","58","67","","178,618","80"
"Mary Gu - Дисней","--","253","","178,530","0"
"Giulia Be - Menina Solta","--","501","","178,527","0"
"Elodie - Andromeda","63","102","","178,493","0"
"Charli XCX - Beg For You","55","63","","178,473","0"
"Fedez - VIOLA","53","93","","178,431","0"
"Kambulat - Выпей меня","50","77","","178,310","0"
"Nimo & Capo - Zoey","42","41","","178,304","0"
"Aitch & Ed Sheeran - My G","64","80","","178,266","0"
"Fedez - MEGLIO DEL CINEMA","51","91","","178,229","0"
"Pablo Alborán - No vaya a ser","--","253","","178,103","0"
"Central Cee & 21 Savage - GBP","28","12","","177,989","0"
"Feid - SORRY 4 THAT MUCH","--","283","","177,967","0"
"Samra & Capital Bra - Berlin","46","38","","177,919","0"
"Гречка - Люби меня люби","--","210","","177,894","0"
"TOQUEL - Sandra","--","770","","177,683","39"
"Doja Cat - Like That","16","138","","177,662","0"
"B Young - 079ME","24","136","","177,660","0"
"Eminem - Killshot","31","26","","177,657","0"
"SCH - R.A.C.","46","54","","177,616","0"
"Willy William & J Balvin - Mi Gente","--","217","","177,580","0"
"Zeynep Bastık - Ara","--","417","","177,541","0"
"Booba - À la folie","49","69","","177,526","0"
"sanah - było, minęło","--","508","","177,509","205"
"Post Malone - Spoil My Night","28","14","","177,505","0"
"Dua Lipa - Homesick","10","182","","177,505","0"
"Pharaoh - Дико, например","24","130","","177,464","0"
"Mike Singer - Deja Vu","21","129","","177,461","0"
"Dermot Kennedy - Something to Someone","10","115","","177,397","0"
"GONE.Fludd - КУБИК ЛЬДА","6","164","","177,317","0"
"Kavinsky, Angèle & Phoenix - Nightcall","24","133","","177,298","0"
"Franglish & Dinos - La Pluie","61","58","","177,294","0"
"Semicenk - Onlar Anlamaz Halden","--","512","","177,278","144"
"Kontra K - Letzte Träne","34","50","","177,271","0"
"Coez - E yo mamma","40","150","","177,153","0"
"Becky G. & El Alfa - Fulanito","--","269","","177,139","0"
"Taylor Swift - ""Slut""","28","5","","177,074","0"
"Ed Sheeran - Dive","4","171","","177,043","0"
"David Guetta - Sexy Bitch","--","217","","176,869","1,186"
"Jala Brat, Buba Corelli & Coby - Ona'e","--","603","","176,864","198"
"Ingebjørg Bratland & Ina Svenningdal - Jul I Svingen","--","448","","176,854","0"
"Mara Sattei - Duemilaminuti","48","116","","176,832","0"
"J Balvin & Zion & Lennox - No Es Justo","--","297","","176,822","0"
"BTS - Aliens","28","14","","176,815","738"
"Rihanna - S&M","7","166","","176,810","1,785"
"Not3s & Mabel - My Lover","33","138","","176,766","0"
"Tiziano Ferro - Accetto miracoli","40","141","","176,755","0"
"Geolier - Vogl sul a te","--","425","","176,704","0"
"Justin Bieber - Baby","18","6","","176,580","5,066"
"Mads Langer - I En Stjerneregn Af Sne","--","428","","176,477","0"
"Mary Gu - Косички","46","101","","176,379","0"
"Джиган - На чиле","50","109","","176,348","0"
"Werenoi - 16.02.2024","49","46","","176,330","0"
"Ufo361 - Next","32","35","","176,319","0"
"Francesco Gabbani - Tra le granite e le granate","69","134","","176,318","0"
"Ariana Grande - bye","24","7","","176,210","0"
"Ashnikko - Daisy","46","52","","176,130","0"
"Azahriah - 3korty","--","795","","176,083","44"
"Oasis - Champagne Supernova","22","72","","176,038","0"
"Noizu - Summer 91","23","143","","176,036","0"
"Dzsúdló & Azahriah - Várnék","--","682","","175,969","65"
"Logic - Homicide","29","14","","175,863","0"
"MoBlack & Salif Keïta - Yamore","46","85","","175,862","0"
"LACAZETTE & Jazeek - CDY","57","46","","175,854","1,657"
"M¥SS KETA - FINIMONDO","73","132","","175,837","0"
"Dimitri Vegas & Like Mike & Quintino - Slow Down","53","137","","175,740","0"
"Boro Boro, Don Joe & MamboLosco - Lento","2","199","","175,722","0"
"Rolf Sanchez - Más Más Más","--","272","","175,713","0"
"Topic & Bebe Rexha - Chain My Heart","28","102","","175,608","0"
"Francesca Michielin - Vulcano","47","149","","175,607","0"
"Kendrick Lamar - peekaboo","34","20","","175,600","0"
"Drake - Hold On, We're Going Home","--","259","","175,579","0"
"Nelly Furtado - Promiscuous","1","75","","175,537","105"
"Ramil' - Падали","39","81","","175,511","0"
"Bad Bunny - La Difícil","15","79","","175,494","0"
"Rhove & Capo Plaza - Alè","--","216","","175,454","0"
"Kezah - Mirador","47","147","","175,423","0"
"Rita Ora - You Only Love Me","25","134","","175,340","0"
"Hov1 - Hon Dansar Vidare I Livet","--","476","","175,316","101"
"Apache 207 - Vodka","43","35","","175,277","0"
"Sobel & sanah - cześć, jak się masz","--","483","","175,251","0"
"Toxi$ - HURTZ","49","97","","175,217","0"
"Luchè - La Notte di San Lorenzo","49","135","","175,190","0"
"Leto - Vie de star","21","92","","175,126","0"
"Travis Scott - MODERN JAM","20","4","","175,112","0"
